time,open,high,low,close,tick_volume,spread,real_volume
2025-01-02 15:00:00,1.03181,1.03296,1.0311,1.03133,3120,4,0
2025-01-02 16:00:00,1.03133,1.03238,1.03021,1.03034,2965,3,0
2025-01-02 17:00:00,1.03039,1.03087,1.02725,1.0274,3562,3,0
2025-01-02 18:00:00,1.02742,1.0276,1.02239,1.02611,3902,3,0
2025-01-02 19:00:00,1.02606,1.02679,1.02514,1.02648,2731,3,0
2025-01-02 20:00:00,1.02649,1.02661,1.02556,1.02563,1894,4,0
2025-01-02 21:00:00,1.02564,1.02593,1.02478,1.0251,1681,4,0
2025-01-02 22:00:00,1.0251,1.0264199999999999,1.02506,1.02613,1296,4,0
2025-01-02 23:00:00,1.02612,1.02685,1.02546,1.02558,638,1,0
2025-01-03 00:00:00,1.02556,1.02665,1.02513,1.02651,358,7,0
2025-01-03 01:00:00,1.02633,1.02681,1.02628,1.02677,494,0,0
2025-01-03 02:00:00,1.02677,1.02734,1.02658,1.02729,714,1,0
2025-01-03 03:00:00,1.02729,1.02729,1.02664,1.02674,1024,4,0
2025-01-03 04:00:00,1.02673,1.02745,1.02667,1.02722,990,4,0
2025-01-03 05:00:00,1.02722,1.02743,1.02686,1.02707,794,1,0
2025-01-03 06:00:00,1.02707,1.02708,1.0267,1.02695,607,0,0
2025-01-03 07:00:00,1.02696,1.02734,1.02645,1.02716,883,0,0
2025-01-03 08:00:00,1.02716,1.02791,1.02715,1.0279,800,0,0
2025-01-03 09:00:00,1.02787,1.02846,1.02686,1.02807,2389,4,0
2025-01-03 10:00:00,1.02807,1.02879,1.02727,1.02803,2225,0,0
2025-01-03 11:00:00,1.02802,1.02998,1.02802,1.02901,2070,4,0
2025-01-03 12:00:00,1.02901,1.02936,1.02791,1.02811,1650,3,0
2025-01-03 13:00:00,1.02816,1.03028,1.02812,1.02972,1646,3,0
2025-01-03 14:00:00,1.02972,1.03008,1.02943,1.02956,1765,4,0
2025-01-03 15:00:00,1.02957,1.03,1.02913,1.02931,2016,4,0
2025-01-03 16:00:00,1.02931,1.03024,1.02879,1.02991,2245,3,0
2025-01-03 17:00:00,1.02927,1.03057,1.02728,1.0289,3495,3,0
2025-01-03 18:00:00,1.02887,1.02997,1.02835,1.02906,2168,4,0
2025-01-03 19:00:00,1.02908,1.03057,1.02907,1.02979,2082,3,0
2025-01-03 20:00:00,1.02978,1.0302,1.02925,1.02972,1426,4,0
2025-01-03 21:00:00,1.02969,1.03059,1.02937,1.03012,1246,3,0
2025-01-03 22:00:00,1.03009,1.03073,1.02987,1.03057,1237,1,0
2025-01-03 23:00:00,1.03056,1.03098,1.03046,1.03078,637,2,0
2025-01-06 00:00:00,1.03018,1.03067,1.0297,1.03014,283,4,0
2025-01-06 01:00:00,1.0301,1.03079,1.0301,1.03051,728,4,0
2025-01-06 02:00:00,1.03051,1.03053,1.02955,1.03028,1283,4,0
2025-01-06 03:00:00,1.03028,1.03134,1.03012,1.03121,1433,0,0
2025-01-06 04:00:00,1.03121,1.03175,1.03107,1.0316,1214,4,0
2025-01-06 05:00:00,1.03159,1.03181,1.0313,1.03163,922,4,0
2025-01-06 06:00:00,1.03163,1.03174,1.03128,1.03151,674,1,0
2025-01-06 07:00:00,1.03152,1.0318,1.03084,1.03088,1036,4,0
2025-01-06 08:00:00,1.03088,1.03164,1.03076,1.03125,1134,4,0
2025-01-06 09:00:00,1.03126,1.03283,1.03099,1.03274,1601,4,0
2025-01-06 10:00:00,1.03274,1.03524,1.03266,1.03501,2606,4,0
2025-01-06 11:00:00,1.03501,1.03687,1.03401,1.03555,3062,3,0
